room,title,area,cd_track,track_length,track_volume,se_bank
0,CLEARING,BWOD,11,1:51,127,SEWOD
1,BEHIND HOUSE,BHUS,10,1:15,127,SEALL
2,FOREST,BWOD,11,1:51,127,SEWOD
3,FOREST,BWOD,11,1:51,127,SEWOD
4,FOREST,BWOD,11,1:51,127,SEWOD
5,CLEARING,BWOD,11,1:51,127,SEWOD
6,FOREST,BWOD,11,1:51,127,SEWOD
7,NORTH OF HOUSE,BHUS,10,1:15,127,SEALL
8,FOREST PATH,BWOD,11,1:51,127,SEWOD
9,SOUTH OF HOUSE,BHUS,10,1:15,127,SEALL
10,BARROW ENTRANCE,BBAR,,silent,,SEBAR
11,UP A TREE,BWOD,11,1:51,127,SEWOD
12,WEST OF HOUSE,BHUS,10,1:15,127,SEALL
13,ATTIC,BHUS,10,1:15,127,SEALL
14,KITCHEN,BHUS,10,1:15,127,SEALL
15,LIVING ROOM,BHUS,10,1:15,127,SEALL
16,CELLAR,BCEL,4,1:52,127,SECEL
17,EAST OF CHASM,BCEL,4,1:52,127,SECEL
18,GALLERY,BCEL,4,1:52,127,SECEL
19,STUDIO,BCEL,4,1:52,127,SECEL
20,TROLL ROOM,BCEL,4,1:52,127,SECEL
21,DEAD END,BMAZ,20,3:01,127,SEMAZ
22,DEAD END,BMAZ,20,3:01,127,SEMAZ
23,DEAD END,BMAZ,20,3:01,127,SEMAZ
24,DEAD END,BMAZ,20,3:01,127,SEMAZ
25,GRATING ROOM,BCEL,,silent,,SEMAZ
26,MAZE,BMAZ,20,3:01,127,SEMAZ
27,MAZE,BMAZ,20,3:01,127,SEMAZ
28,MAZE,BMAZ,20,3:01,127,SEMAZ
29,MAZE,BMAZ,20,3:01,127,SEMAZ
30,MAZE,BMAZ,20,3:01,127,SEMAZ
31,MAZE,BMAZ,20,3:01,127,SEMAZ
32,MAZE,BMAZ,20,3:01,127,SEMAZ
33,MAZE,BMAZ,20,3:01,127,SEMAZ
34,MAZE,BMAZ,20,3:01,127,SEMAZ
35,MAZE,BMAZ,20,3:01,127,SEMAZ
36,MAZE,BMAZ,20,3:01,127,SEMAZ
37,MAZE,BMAZ,20,3:01,127,SEMAZ
38,MAZE,BMAZ,20,3:01,127,SEMAZ
39,MAZE,BMAZ,20,3:01,127,SEMAZ
40,MAZE,BMAZ,20,3:01,127,SEMAZ
41,CYCLOPS ROOM,BCEL,4,1:52,127,SECEL
42,NARROW PASSAGE,BCEL,4,1:52,127,SECEL
43,TREASURE ROOM,BCEL,4,1:52,127,SECEL
44,STREAM,BDAM,12,1:58,127,SEDAM
45,RESERVOIR,BDAM,12,1:58,127,SEDAM
46,RESERVOIR NORTH,BDAM,12,1:58,127,SEDAM
47,RESERVOIR SOUTH,BDAM,12,1:58,127,SEDAM
48,STREAM VIEW,BDAM,12,1:58,127,SEDAM
49,ATLANTIS ROOM,BCEL,,silent,,SECEL
50,COLD PASSAGE,BMIR,3,2:11,127,SEMIR
51,MIRROR ROOM,BMIR,3,2:11,127,SEMIR
52,MIRROR ROOM,BMIR,3,2:11,127,SEMIR
53,NARROW PASSAGE,BMIR,3,2:11,127,SEMIR
54,SHAFT,BMIR,3,2:11,127,SEMIR
55,SHAFT,BMIR,3,2:11,127,SEMIR
56,WINDING PASSAGE,BMIR,3,2:11,127,SEMIR
57,CURVED PASSAGE,BMIR,3,2:11,127,SEMIR
58,CHASM,BCEL,4,1:52,127,SECEL
59,DAMP CAVE,BRIV,6,1:53,127,SERIV
60,DEEP CANYON,BDAM,8,2:12,127,SEDAM
61,EAST-WEST PASSAGE,BCEL,4,1:52,127,SECEL
62,LOUD ROOM,BDAM,8,2:12,127,SEDAM
63,NORTH-SOUTH PASSAGE,BCEL,4,1:52,127,SECEL
64,ROUND ROOM,BCEL,4,1:52,127,SECEL
65,ENTRANCE TO HADES,BDED,19,2:34,127,SEHDS
66,LAND OF THE LIVING DEAD,BDED,19,2:34,127,SEHDS
67,DOME ROOM,BTMP,2,2:19,127,SEALL
68,EGYPT ROOM,BTMP,2,2:19,127,SEALL
69,ENGRAVINGS CAVE,BTMP,2,2:19,127,SEALL
70,TEMPLE,BTMP,2,2:19,127,SEALL
71,ALTAR,BTMP,2,2:19,127,SEALL
72,TORCH ROOM,BTMP,2,2:19,127,SEALL
73,DAM LOBBY,BDAM,8,2:12,127,SEDAM
74,FLOOD CONTROL DAM,BDAM,8,2:12,127,SEDAM
75,CONTROL ROOM,BDAM,8,2:12,127,SEDAM
76,ARAGAIN FALLS,BRIV,6,1:53,127,SERIV
77,CANYON BOTTOM,BRIV,6,1:53,127,SERIV
78,CANYON VIEW,BRIV,6,1:53,127,SERIV
79,LEDGE,BRIV,6,1:53,127,SERIV
80,BASE OF DAM,BRIV,,silent,,SERIV
81,END OF RAINBOW,BRIV,6,1:53,127,SERIV
82,ON THE RAINBOW,BRIV,6,1:53,127,SERIV
83,FRIGID RIVER,BRIV,,silent,,SERIV
84,FRIGID RIVER,BRIV,,silent,,SERIV
85,FRIGID RIVER,BRIV,,silent,,SERIV
86,FRIGID RIVER,BRIV,,silent,,SERIV
87,FRIGID RIVER,BRIV,,silent,,SERIV
88,SANDY BEACH,BRIV,6,1:53,127,SERIV
89,SANDY CAVE,BRIV,6,1:53,127,SERIV
90,SHORE,BRIV,6,1:53,127,SERIV
91,WHITE CLIFFS BEACH,BRIV,6,1:53,127,SERIV
92,WHITE CLIFFS BEACH,BRIV,6,1:53,127,SERIV
93,BAT ROOM,BMIN,31,0:36,127,SEMINA
94,DEAD END,BMIN,18,2:33,127,SEMINA
95,GAS ROOM,BMIN,18,2:33,127,SEMINA
96,LADDER BOTTOM,BMIN,18,2:33,127,SEMINB
97,LADDER TOP,BMIN,18,2:33,127,SEMINB
98,DRAFTY ROOM,BMIN,18,2:33,127,SEMINA
99,MACHINE ROOM,BMIN,18,2:33,127,SEMINA
100,MINE ENTRANCE,BMIN,18,2:33,127,SEMINA
101,SHAFT ROOM,BMIN,18,2:33,127,SEMINA
102,FOUL ROOM,BMIN,18,2:33,127,SEMINA
103,SQUEAKY ROOM,BMIN,18,2:33,127,SEMINA
104,TIMBER ROOM,BMIN,18,2:33,127,SEMINA
105,COAL MINE,BMIN,18,2:33,127,SEMINA
106,COAL MINE,BMIN,18,2:33,127,SEMINA
107,COAL MINE,BMIN,18,2:33,127,SEMINA
108,COAL MINE,BMIN,18,2:33,127,SEMINA
109,SLIDE ROOM,BCEL,,silent,,SECEL
