room,title,area_archive,frame,image,frame_offset,frame_length,cd_track,se_bank
0,CLEARING,BWOD.CGL,1,BWOD_01.png,26076,36312,11,SEWOD
1,BEHIND HOUSE,BHUS.CGL,2,BHUS_02.png,44984,20696,10,SEALL
2,FOREST,BWOD.CGL,0,BWOD_00.png,0,26076,11,SEWOD
3,FOREST,BWOD.CGL,0,BWOD_00.png,0,26076,11,SEWOD
4,FOREST,BWOD.CGL,0,BWOD_00.png,0,26076,11,SEWOD
5,CLEARING,BWOD.CGL,1,BWOD_01.png,26076,36312,11,SEWOD
6,FOREST,BWOD.CGL,0,BWOD_00.png,0,26076,11,SEWOD
7,NORTH OF HOUSE,BHUS.CGL,1,BHUS_01.png,23072,21912,10,SEALL
8,FOREST PATH,BWOD.CGL,2,BWOD_02.png,62388,32480,11,SEWOD
9,SOUTH OF HOUSE,BHUS.CGL,1,BHUS_01.png,23072,21912,10,SEALL
10,BARROW ENTRANCE,BBAR.CGL,0,BBAR_00.png,0,35360,0,SEBAR
11,UP A TREE,BWOD.CGL,3,BWOD_03.png,94868,31832,11,SEWOD
12,WEST OF HOUSE,BHUS.CGL,0,BHUS_00.png,0,23072,10,SEALL
13,ATTIC,BHUS.CGL,5,BHUS_05.png,110236,18692,10,SEALL
14,KITCHEN,BHUS.CGL,3,BHUS_03.png,65680,16504,10,SEALL
15,LIVING ROOM,BHUS.CGL,4,BHUS_04.png,82184,28052,10,SEALL
16,CELLAR,BCEL.CGL,7,BCEL_07.png,210876,19524,4,SECEL
17,EAST OF CHASM,BCEL.CGL,8,BCEL_08.png,230400,32096,4,SECEL
18,GALLERY,BCEL.CGL,9,BCEL_09.png,262496,19792,4,SECEL
19,STUDIO,BCEL.CGL,10,BCEL_10.png,282288,22364,4,SECEL
20,TROLL ROOM,BCEL.CGL,6,BCEL_06.png,173792,37084,4,SECEL
21,DEAD END,BMAZ.CGL,2,BMAZ_02.png,47136,19136,20,SEMAZ
22,DEAD END,BMAZ.CGL,2,BMAZ_02.png,47136,19136,20,SEMAZ
23,DEAD END,BMAZ.CGL,2,BMAZ_02.png,47136,19136,20,SEMAZ
24,DEAD END,BMAZ.CGL,2,BMAZ_02.png,47136,19136,20,SEMAZ
25,GRATING ROOM,BCEL.CGL,14,BCEL_14.png,388700,29564,0,SEMAZ
26,MAZE,BMAZ.CGL,0,BMAZ_00.png,0,21552,20,SEMAZ
27,MAZE,BMAZ.CGL,0,BMAZ_00.png,0,21552,20,SEMAZ
28,MAZE,BMAZ.CGL,0,BMAZ_00.png,0,21552,20,SEMAZ
29,MAZE,BMAZ.CGL,0,BMAZ_00.png,0,21552,20,SEMAZ
30,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
31,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
32,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
33,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
34,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
35,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
36,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
37,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
38,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
39,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
40,MAZE,BMAZ.CGL,1,BMAZ_01.png,21552,25584,20,SEMAZ
41,CYCLOPS ROOM,BCEL.CGL,12,BCEL_12.png,338960,20784,4,SECEL
42,NARROW PASSAGE,BCEL.CGL,11,BCEL_11.png,304652,34308,4,SECEL
43,TREASURE ROOM,BCEL.CGL,13,BCEL_13.png,359744,28956,4,SECEL
44,STREAM,BDAM.CGL,8,BDAM_08.png,203604,24484,12,SEDAM
45,RESERVOIR,BDAM.CGL,6,BDAM_06.png,153276,24268,12,SEDAM
46,RESERVOIR NORTH,BDAM.CGL,5,BDAM_05.png,122816,30460,12,SEDAM
47,RESERVOIR SOUTH,BDAM.CGL,7,BDAM_07.png,177544,26060,12,SEDAM
48,STREAM VIEW,BDAM.CGL,9,BDAM_09.png,228088,24668,12,SEDAM
49,ATLANTIS ROOM,BCEL.CGL,1,BCEL_01.png,25780,29872,0,SECEL
50,COLD PASSAGE,BMIR.CGL,0,BMIR_00.png,0,28080,3,SEMIR
51,MIRROR ROOM,BMIR.CGL,1,BMIR_01.png,28080,27288,3,SEMIR
52,MIRROR ROOM,BMIR.CGL,1,BMIR_01.png,28080,27288,3,SEMIR
53,NARROW PASSAGE,BMIR.CGL,0,BMIR_00.png,0,28080,3,SEMIR
54,SHAFT,BMIR.CGL,2,BMIR_02.png,55368,30860,3,SEMIR
55,SHAFT,BMIR.CGL,2,BMIR_02.png,55368,30860,3,SEMIR
56,WINDING PASSAGE,BMIR.CGL,3,BMIR_03.png,86228,29932,3,SEMIR
57,CURVED PASSAGE,BMIR.CGL,3,BMIR_03.png,86228,29932,3,SEMIR
58,CHASM,BCEL.CGL,0,BCEL_00.png,0,25780,4,SECEL
59,DAMP CAVE,BRIV.CGL,3,BRIV_03.png,78440,27784,6,SERIV
60,DEEP CANYON,BDAM.CGL,3,BDAM_03.png,64048,32416,8,SEDAM
61,EAST-WEST PASSAGE,BCEL.CGL,5,BCEL_05.png,141868,31924,4,SECEL
62,LOUD ROOM,BDAM.CGL,4,BDAM_04.png,96464,26352,8,SEDAM
63,NORTH-SOUTH PASSAGE,BCEL.CGL,3,BCEL_03.png,85428,26504,4,SECEL
64,ROUND ROOM,BCEL.CGL,4,BCEL_04.png,111932,29936,4,SECEL
65,ENTRANCE TO HADES,BDED.CGL,0,BDED_00.png,0,35568,19,SEHDS
66,LAND OF THE LIVING DEAD,BDED.CGL,1,BDED_01.png,35568,21508,19,SEHDS
67,DOME ROOM,BTMP.CGL,1,BTMP_01.png,28264,20980,2,SEALL
68,EGYPT ROOM,BTMP.CGL,5,BTMP_05.png,136588,21816,2,SEALL
69,ENGRAVINGS CAVE,BTMP.CGL,0,BTMP_00.png,0,28264,2,SEALL
70,TEMPLE,BTMP.CGL,3,BTMP_03.png,77004,32628,2,SEALL
71,ALTAR,BTMP.CGL,4,BTMP_04.png,109632,26956,2,SEALL
72,TORCH ROOM,BTMP.CGL,2,BTMP_02.png,49244,27760,2,SEALL
73,DAM LOBBY,BDAM.CGL,1,BDAM_01.png,17556,22068,8,SEDAM
74,FLOOD CONTROL DAM,BDAM.CGL,2,BDAM_02.png,39624,24424,8,SEDAM
75,CONTROL ROOM,BDAM.CGL,0,BDAM_00.png,0,17556,8,SEDAM
76,ARAGAIN FALLS,BRIV.CGL,8,BRIV_08.png,209224,36308,6,SERIV
77,CANYON BOTTOM,BRIV.CGL,11,BRIV_11.png,286204,30792,6,SERIV
78,CANYON VIEW,BRIV.CGL,13,BRIV_13.png,345928,21572,6,SERIV
79,LEDGE,BRIV.CGL,12,BRIV_12.png,316996,28932,6,SERIV
80,BASE OF DAM,BRIV.CGL,0,BRIV_00.png,0,30052,0,SERIV
81,END OF RAINBOW,BRIV.CGL,10,BRIV_10.png,262028,24176,6,SERIV
82,ON THE RAINBOW,BRIV.CGL,9,BRIV_09.png,245532,16496,6,SERIV
83,FRIGID RIVER,BRIV.CGL,1,BRIV_01.png,30052,22628,0,SERIV
84,FRIGID RIVER,BRIV.CGL,1,BRIV_01.png,30052,22628,0,SERIV
85,FRIGID RIVER,BRIV.CGL,1,BRIV_01.png,30052,22628,0,SERIV
86,FRIGID RIVER,BRIV.CGL,1,BRIV_01.png,30052,22628,0,SERIV
87,FRIGID RIVER,BRIV.CGL,2,BRIV_02.png,52680,25760,0,SERIV
88,SANDY BEACH,BRIV.CGL,6,BRIV_06.png,160196,23664,6,SERIV
89,SANDY CAVE,BRIV.CGL,7,BRIV_07.png,183860,25364,6,SERIV
90,SHORE,BRIV.CGL,5,BRIV_05.png,133744,26452,6,SERIV
91,WHITE CLIFFS BEACH,BRIV.CGL,4,BRIV_04.png,106224,27520,6,SERIV
