table,index,text_len,kind,jp_preview
dict234,3,28,real,北の森は深くて踏み込め<13>鉄格子
dict234,13,10,real,できます。
dict234,14,12,real,みましたか？
dict234,15,64,real,独り言を言うなんて、精神衰弱の徴候ですね。<1c>ありがとうございます。
dict234,51,6,real,{obj18}{room17}壊れた
dict234,86,18,real,燃えつきた{room17}革の財布
dict234,88,10,real,{obj11}{room17}{obj21}エメラルド
dict234,102,30,real,穴の空いた{room23}折りたたんだビニール
dict234,125,12,real,{obj35}の{room74}妖精の剣
dict234,218,4,real,番号
dict234,219,4,real,それ
dict234,220,14,real,もろもろの事柄
dict234,221,10,real,そんなもの
dict234,222,4,real,恩恵
dict234,227,4,real,それ
dict234,228,10,real,まぬけ野郎
dict234,16,22,subwindow,ありがとうございます。
dict234,61,10,subwindow,色のボタン
dict234,1,16,glue,何も起こり<03><1c>青い鳥
dict234,4,36,glue,閉ま<18>が現れ<12>がここに<16>開いて<11>すでに{room7}トロル
dict234,5,32,glue,が現れ<12>がここに<16>開いて<11>すでに{room7}トロル
dict234,6,26,glue,がここに<16>開いて<11>すでに{room7}トロル
dict234,7,18,glue,開いて<11>すでに{room7}トロル
dict234,8,12,glue,すでに{room7}トロル
dict234,12,10,glue,ください。
msg777,375,4,real,{room28}{room29}{room30}{room31}{room32}{room33}{room34}{obj
msg777,758,6,real,片隅に
msg777,759,8,real,向かって
msg777,760,6,real,不気味
msg777,330,1,stub,{room222}
msg777,342,1,stub,{room231}
msg777,435,1,stub,{room228}
msg777,352,1,subwindow,F
msg777,354,1,subwindow,{room227}\n
msg777,357,0,subwindow,\n
msg777,366,4,subwindow,{room29}{room30}{room31}{room32}{room33}{room34}{obj35}
msg777,369,4,subwindow,{room30}{room31}{room32}{room33}{room34}{obj35}
msg777,372,1,subwindow,{room230}
msg777,378,137,subwindow,{room73}{room74}{room75}{room76}{room77}ボトルが１本、{obj57}の上に<16
msg777,381,428,subwindow,{room100}{room101}{obj225}には{obj101}が<16>{room102}{room103}こ
msg777,384,60,subwindow,{room39}{room40}{room41}{obj254}<07>{obj254}<08>転がっているのは、見事な
msg777,390,111,subwindow,{room232}{room79}ラムセス.U世の埋葬に使われた{obj79}{room6}{room80}{room8
msg777,399,80,subwindow,{room80}{room81}{room82}{obj21}（しかもとても美しい）{obj20}{room6}{roo
msg777,402,61,subwindow,{room38}{room39}{room40}{room41}{obj254}<07>{obj254}<08>転がって
msg777,405,636,subwindow,{room120}{room121}{room122}{room123}{room124}{room125}刻まれた文字
msg777,420,4,subwindow,{room32}{room33}{room34}{obj35}
msg777,426,1,subwindow,{obj35}
msg777,429,1392,subwindow,{room140}{room141}{room142}{room143}\nのそばの枝には小さな{obj143}が<16
msg777,432,3,subwindow,{room33}{room34}{obj35}
msg777,438,1147,subwindow,{room146}{room147}卵の中には、{obj147}が納ま<08>目はルビーで口ばしは銀<05>左の羽根の下
msg777,441,358,subwindow,{room128}−フロボズ魔法{obj23}会社−<0c><0c>やあ{obj224}さん！<0c><0c>使用上の注
msg777,444,1032,subwindow,{room148}卵の中には、{obj147}が納ま<08>つい最近、ひどい目にあわされたようで、{obj26}をはめ込
msg777,445,1031,subwindow,卵の中には、{obj147}が納ま<08>つい最近、ひどい目にあわされたようで、{obj26}をはめ込むように細工された
msg777,447,1162,subwindow,{room145}壊れかけた卵が<16>{room146}{room147}卵の中には、{obj147}が納ま<08>目
msg777,453,78,subwindow,{room82}{obj21}（しかもとても美しい）{obj20}{room6}{room83}小さな立像があります。ヒ
msg777,459,429,subwindow,{room99}{room100}{room101}{obj225}には{obj101}が<16>{room102}{r
msg777,462,561,subwindow,真っ赤に焼けた{room45}{obj225}には、真っ赤に焼けた{obj45}が転が<18>{room46}{room
msg777,465,746,subwindow,{room93}{room94}{room95}ここに{obj95}が<06>２つ折りのカバーには「美しき{obj10}
msg777,471,418,subwindow,{room102}{room103}ここに折りたたんだビニールが<06>小さなバルブがついて<11>{room104}{
msg777,477,906,subwindow,{room90}{obj90}が一通、{obj225}に落ちて<11>{obj233}の世界へようこそ！<0c><0c>
msg777,480,654,subwindow,{room76}\nは、{obj33}の北側に<01>こちら側には{obj74}がなく、壁の窓にはすべて{obj28}が
msg777,483,135,subwindow,{room75}{room76}{room77}ボトルが１本、{obj57}の上に<16>{room232}{room7
msg777,486,1146,subwindow,{room147}卵の中には、{obj147}が納ま<08>目はルビーで口ばしは銀<05>左の羽根の下にある水晶の窓を通
msg777,489,1365,subwindow,{room144}{obj143}の中には高価な{obj26}で飾られた大きな卵が<06>ヒナをもたない{obj32}が
msg777,492,136,subwindow,{room74}{room75}{room76}{room77}ボトルが１本、{obj57}の上に<16>{room23
msg777,495,427,subwindow,{room101}{obj225}には{obj101}が<16>{room102}{room103}ここに折りたたんだビ
msg777,498,745,subwindow,{room94}{room95}ここに{obj95}が<06>２つ折りのカバーには「美しき{obj10}を訪ねよう」と書
