class,id,reading,english,source
noun,0x027a,おりたたんだびにーる,PLASTIC,direct
noun,0x027a,ほうせきを散りばめた,JEWELED,direct
noun,0x0213,ちょうこくされた,CARVING,direct
noun,0x025e,せっちゃくざい,GLUE,direct
noun,0x0264,いのりのことば,PRAYER,direct
noun,0x027d,ぜんまい仕掛の,CLOCKWORK,direct
noun,0x01f7,びじゅつひん,PAINTING,direct
noun,0x01f9,ぱんふれっと,LEAFLET,direct
noun,0x020d,ぶれすれっと,BRACELET,direct
noun,0x0210,さいくろぷす,CYCLOPS,direct
noun,0x0228,だいあもんど,DIAMOND,direct
noun,0x022a,だいやもんど,DIAMOND,direct
noun,0x022a,ＦＣＤ￥＃３,DIAMOND,id-prop
noun,0x0236,しょくりょう,,
noun,0x023a,がいどぶっく,GUIDEBOOK,direct
noun,0x0245,ゆうびんぶつ,MAIL,direct
noun,0x025d,ゆうびんうけ,MAILBOX,direct
noun,0x025e,ゆうびんばこ,MAILBOX,direct
noun,0x025e,せつめいしょ,LEAFLET,direct
noun,0x0260,ぷらすちっく,PLASTIC,direct
noun,0x027a,いのりの言葉,PRAYER,direct
noun,0x027d,さんどいっち,SANDWICH,direct
noun,0x028c,とらっぷどあ,TRAP,direct
noun,0x02a2,かくしとびら,DOOR,direct
noun,0x02a2,とらいでんと,TRIDENT,direct
noun,0x02a7,きゅうけつき,,
noun,0x02ac,ＺＺＭＧＣＫ,,
noun,0x02b2,ぼーとのあな,LEAK,direct
noun,0x02d4,こわれている,BROKEN,direct
noun,0x01f4,ぱいろっと,WOODEN,id-prop
noun,0x01fa,こがねむし,SCARAB,direct
noun,0x0202,かーぺっと,RUG,direct
noun,0x021a,すべりだい,SLIDE,direct
noun,0x021f,がーりっく,GARLIC,direct
noun,0x0221,どらいばー,SCREWDRIVER,direct
noun,0x022f,かんそうき,,
noun,0x0230,えめらるど,EMERALD,direct
noun,0x0232,ちょうこく,CARVING,direct
noun,0x0233,あくりょう,GHOST,direct
noun,0x0237,てつごうし,GRATING,direct
noun,0x0242,がらすくず,GLASS,direct
noun,0x0246,れたりんぐ,HANDS,id-prop
noun,0x0258,まにゅある,MANUAL,direct
noun,0x0260,かみまっち,MATCH,direct
noun,0x0263,もんすたー,MATCH,id-prop
noun,0x0266,さんみゃく,MOUNTAIN,direct
noun,0x0267,ＰＤＰ１０,BODY,id-prop
noun,0x0273,まつばやし,FOREST,direct
noun,0x0278,きとうぶん,PRAYER,direct
noun,0x027d,たいりょう,CLOCKWORK,id-prop
noun,0x027f,きの手すり,RAILING,direct
noun,0x0281,きのてすり,RAILING,direct
noun,0x0281,じゅうたん,RUG,direct
noun,0x0288,さふぁいあ,SAPPHIRE,direct
noun,0x028d,ずがいこつ,SKULL,direct
noun,0x0294,あおいとり,SONGBIRD,direct
noun,0x0295,どうぐばこ,TOOL,direct
noun,0x02a0,ぞーくどる,ZORKMIDS,direct
noun,0x02b1,しんちゅう,BRASS,direct
noun,0x02c2,くりすたる,CRYSTAL,direct
noun,0x02c3,すいしょう,CRYSTAL,direct
noun,0x02c3,みどりいろ,GREEN,direct
noun,0x02c8,だいどころ,KITCHEN,direct
noun,0x02c9,だいりせき,,
noun,0x02cc,ぼーとの穴,LEAK,direct
noun,0x02d4,ちょすいち,RESERVOIR,direct
noun,0x02d5,うつくしい,BROWN,id-prop
noun,0x01f5,さいだん,ALTAR,direct
noun,0x01f8,いしづか,BARROW,direct
noun,0x01fe,こうもり,BAT,direct
noun,0x0200,おもちゃ,TOY,direct
noun,0x0201,おんけい,TROPHY,direct
noun,0x0206,かなりあ,CANARY,direct
noun,0x0217,かなりや,CANARY,direct
noun,0x0217,ろうそく,CANDLES,direct
noun,0x0218,ろーそく,CANDLES,direct
noun,0x0218,さかずき,CHALICE,direct
noun,0x021d,えんとつ,CHIMNEY,direct
noun,0x021e,すべり台,SLIDE,direct
noun,0x021f,がんぺき,CLIFF,direct
noun,0x0220,ぜっぺき,CLIFF,direct
noun,0x0220,にんにく,GARLIC,direct
noun,0x0221,せきたん,COAL,direct
noun,0x0222,しょくじ,,
noun,0x022b,きょだい,,
noun,0x0234,ひとつめ,CYCLOPS,direct
noun,0x0235,おいはぎ,THIEF,direct
noun,0x023b,ふぉーく,,
noun,0x023e,すいもん,,
noun,0x023f,ゆうれい,GHOST,direct
noun,0x0240,おうごん,GOLD,direct
noun,0x0241,ＧＲＵＥ,,
noun,0x0244,がらす屑,GLASS,direct
noun,0x0246,りょうて,HANDS,direct
noun,0x0248,かたまり,MOUNTAIN,id-prop
noun,0x024a,ほうせき,JEWELS,direct
noun,0x024f,みず漏れ,LEAK,direct
noun,0x0256,みずもれ,LEAK,direct
noun,0x0256,いわだな,LEDGE,direct
noun,0x0257,えきたい,LEDGE,id-prop
noun,0x025a,ましーん,MACHINE,direct
noun,0x025c,ゆうびん,MAIL,direct
noun,0x025d,ぶっしつ,MAILBOX,id-prop
noun,0x0264,かいぶつ,PRAYER,id-prop
noun,0x0266,せんがい,MOUNTAIN,id-prop
noun,0x026b,いっつい,PEDESTAL,id-prop
noun,0x026d,ようひし,BODY,id-prop
noun,0x0270,ぺーすと,CRACK,id-prop
noun,0x0271,びにーる,PLASTIC,direct
noun,0x027a,ぷらちな,PLATINUM,direct
noun,0x027b,きとう文,PRAYER,direct
noun,0x027d,ごうとう,CLOCKWORK,id-prop
noun,0x0286,ふなのり,SAILOR,direct
noun,0x028a,すからべ,SCARAB,direct
noun,0x028e,しゃべる,SHOVEL,direct
noun,0x0291,がいこつ,SKELETON,direct
noun,0x0293,あおい鳥,SONGBIRD,direct
noun,0x0295,かいだん,STAIRCASE,direct
