zvoc_id,pos,japanese_keyword,english_TODO
634,noun,おりたたんだびにーる,
634,noun,ほうせきを散りばめた,
767,adj,ほうせきをちりばめた,
767,adj,ＲＥＳＴＡＲＴして,
753,adj,こうかいにてきした,
786,adj,ＡＤＶＥＮＴして,
531,noun,ちょうこくされた,
737,adj,ぜんまい仕掛けの,
739,adj,ぜんまいじかけの,
739,adj,ずたずたにされた,
772,adj,ぐらぐらしている,
783,adj,こうかいに適した,
786,adj,いたを打ちつけた,
817,adj,いたをうちつけた,
817,adj,りすたーとする,
606,noun,せっちゃくざい,
612,noun,いのりのことば,
637,noun,ぜんまい仕掛の,
739,adj,しょくみん地の,
740,adj,しょくみんちの,
740,adj,ほこりだらけの,
745,adj,えるふのような,
747,adj,ぺしゃんこ頭の,
753,adj,ちかづきがたい,
754,adj,ごしっくしきの,
757,adj,けいたいようの,
760,adj,しゃくねつした,
761,adj,まっかに焼けた,
761,adj,まっかにやけた,
761,adj,どっしりとした,
773,adj,じぶんじしんの,
778,adj,ひやけしている,
801,adj,やくにたたない,
807,adj,きゅうけつ鬼の,
808,adj,きゅうけつきの,
808,adj,ねばりけのある,
810,adj,がらすのような,
811,adj,しんだんする,
503,noun,びじゅつひん,
505,noun,ぱんふれっと,
525,noun,ぶれすれっと,
528,noun,さいくろぷす,
552,noun,だいあもんど,
554,noun,だいやもんど,
554,noun,ＦＣＤ￥＃３,
566,noun,しょくりょう,
570,noun,がいどぶっく,
581,noun,ゆうびんぶつ,
605,noun,ゆうびんうけ,
606,noun,ゆうびんばこ,
606,noun,せつめいしょ,
608,noun,ぷらすちっく,
634,noun,いのりの言葉,
637,noun,さんどいっち,
652,noun,とらっぷどあ,
674,noun,かくしとびら,
674,noun,とらいでんと,
679,noun,きゅうけつき,
684,noun,ＺＺＭＧＣＫ,
690,noun,ぼーとのあな,
724,noun,こわれている,
733,adj,こんらんした,
744,adj,えるふの様な,
747,adj,かざりのある,
748,adj,ちかづき難い,
754,adj,しょうめんの,
756,adj,ごしっく式の,
757,adj,みかげいしの,
758,adj,けいたい用の,
760,adj,めにみえない,
765,adj,かくれている,
771,adj,ぽせいどんの,
780,adj,あなの空いた,
781,adj,あなのあいた,
781,adj,みすぼらしい,
787,adj,いかがわしい,
788,adj,じゅんすいな,
790,adj,せんりひんの,
804,adj,がらすしつの,
811,adj,まかれている,
814,adj,りすたーと,
500,noun,ぱいろっと,
506,noun,こがねむし,
514,noun,かーぺっと,
538,noun,すべりだい,
543,noun,がーりっく,
545,noun,どらいばー,
559,noun,かんそうき,
560,noun,えめらるど,
562,noun,ちょうこく,
563,noun,あくりょう,
567,noun,てつごうし,
578,noun,がらすくず,
582,noun,れたりんぐ,
600,noun,まにゅある,
608,noun,かみまっち,
611,noun,もんすたー,
614,noun,さんみゃく,
615,noun,ＰＤＰ１０,
627,noun,まつばやし,
632,noun,きとうぶん,
637,noun,たいりょう,
639,noun,きの手すり,
641,noun,きのてすり,
641,noun,じゅうたん,
648,noun,さふぁいあ,
653,noun,ずがいこつ,
660,noun,あおいとり,
661,noun,どうぐばこ,
672,noun,ぞーくどる,
689,noun,しんちゅう,
706,noun,くりすたる,
707,noun,すいしょう,
707,noun,みどりいろ,
712,noun,だいどころ,
713,noun,だいりせき,
716,noun,ぼーとの穴,
724,noun,ちょすいち,
725,noun,うつくしい,
729,adj,ちまみれの,
731,adj,ぼろぼろの,
733,adj,ちゃいろい,
734,adj,もえつきた,
735,adj,もえている,
736,adj,ほそながい,
746,adj,ようせいの,
747,adj,きょだいな,
749,adj,せいこうな,
751,adj,ひややかな,
755,adj,みかげ石の,
758,adj,とおれない,
763,adj,ふくらんだ,
764,adj,ほうせきの,
767,adj,おろされた,
770,adj,とうようの,
777,adj,こしょうの,
779,adj,すくりゅー,
785,adj,ないている,
795,adj,ひやけした,
801,adj,わなのある,
803,adj,とろふぃー,
804,adj,さびてない,
806,adj,じゃあくな,
809,adj,がらす質の,
811,adj,もくせいの,
815,adj,くいっと,
501,noun,さいだん,
504,noun,いしづか,
510,noun,こうもり,
512,noun,おもちゃ,
513,noun,おんけい,
518,noun,かなりあ,
535,noun,かなりや,
535,noun,ろうそく,
536,noun,ろーそく,
536,noun,さかずき,
541,noun,えんとつ,
542,noun,すべり台,
543,noun,がんぺき,
544,noun,ぜっぺき,
544,noun,にんにく,
545,noun,せきたん,
546,noun,しょくじ,
555,noun,きょだい,
564,noun,ひとつめ,
565,noun,おいはぎ,
571,noun,ふぉーく,
574,noun,すいもん,
575,noun,ゆうれい,
576,noun,おうごん,
577,noun,ＧＲＵＥ,
580,noun,がらす屑,
582,noun,りょうて,
584,noun,かたまり,
586,noun,ほうせき,
591,noun,みず漏れ,
598,noun,みずもれ,
598,noun,いわだな,
599,noun,えきたい,
602,noun,ましーん,
604,noun,ゆうびん,
605,noun,ぶっしつ,
612,noun,かいぶつ,
614,noun,せんがい,
619,noun,いっつい,
621,noun,ようひし,
624,noun,ぺーすと,
625,noun,びにーる,
634,noun,ぷらちな,
635,noun,きとう文,
637,noun,ごうとう,
646,noun,ふなのり,
650,noun,すからべ,
654,noun,しゃべる,
657,noun,がいこつ,
659,noun,あおい鳥,
661,noun,かいだん,
662,noun,たんけん,
663,noun,すいっち,
664,noun,てーぶる,
666,noun,どろぼう,
668,noun,もくざい,
669,noun,どうぐ箱,
672,noun,たいまつ,
673,noun,かくし扉,
674,noun,かくし戸,
674,noun,かくしど,
674,noun,ざいほう,
675,noun,とらんく,
681,noun,ちゅーぶ,
682,noun,かきこみ,
688,noun,ふーばー,
694,noun,みずうみ,
696,noun,あおいろ,
702,noun,ちゃいろ,
703,noun,あかいろ,
705,noun,おうどう,
706,noun,えじぷと,
708,noun,えなめる,
709,noun,きんぞく,
717,noun,ＺＯＲＫ,
721,noun,もう一度,
723,noun,こだいの,
726,adj,こだいの,
727,adj,こふうな,
727,adj,ち塗れの,
731,adj,こわれた,
733,adj,ちゃ色い,
734,adj,りっぱな,
752,adj,ひすいの,
766,adj,おおきい,
768,adj,おおきな,
768,adj,ぶきみな,
775,adj,きけんな,
775,adj,するどい,
789,adj,しずかな,
791,adj,ふきつな,
792,adj,ちいさい,
793,adj,ちいさな,
793,adj,けわしい,
796,adj,あらしの,
797,adj,しらない,
798,adj,まわりの,
799,adj,あやしい,
800,adj,とらっぷ,
803,adj,かくしの,
803,adj,ねじれた,
805,adj,きいろい,
816,adj,ぜんぶを,
502,noun,さいふ,
508,noun,はもの,
517,noun,いのり,
518,noun,ぼーと,
520,noun,したい,
521,noun,ぼると,
522,noun,ぼとる,
526,noun,ぼたん,
534,noun,けーす,
539,noun,ひつぎ,
540,noun,こいん,
547,noun,ようき,
548,noun,きれつ,
550,noun,こっぷ,
551,noun,とびら,
557,noun,しずく,
558,noun,たまご,
561,noun,ちから,
572,noun,げーと,
575,noun,じめん,
579,noun,ぐるー,
580,noun,Ｈ２Ｏ,
583,noun,あたま,
585,noun,ぞうげ,
590,noun,ないふ,
593,noun,らべる,
594,noun,はしご,
595,noun,らんぷ,
596,noun,おちば,
597,noun,きざみ,
600,noun,あかり,
601,noun,ましん,
604,noun,おとこ,
607,noun,まっぷ,
609,noun,まっち,
610,noun,かがみ,
613,noun,みらー,
613,noun,なっと,
618,noun,ぺーじ,
620,noun,ぱねる,
622,noun,こみち,
626,noun,つうろ,
626,noun,だいざ,
628,noun,ぶぶん,
630,noun,ぱいぷ,
633,noun,ぽんぷ,
638,noun,いかだ,
640,noun,てすり,
641,noun,いたい,
643,noun,したい,
643,noun,ろーぷ,
647,noun,ふくろ,
649,noun,すいふ,
650,noun,しゃく,
655,noun,じぶん,
656,noun,どくろ,
659,noun,つるぎ,
665,noun,こうぐ,
671,noun,とーち,
673,noun,はやし,
678,noun,とろる,
680,noun,ばるぶ,
683,noun,こまど,
686,noun,れんち,
687,noun,くさり,
691,noun,さけ目,
692,noun,さけめ,
692,noun,どーむ,
693,noun,におい,
698,noun,おがわ,
699,noun,てがみ,
700,noun,ちゃ色,
703,noun,きいろ,
704,noun,ほのお,
710,noun,がらす,
711,noun,みどり,
712,noun,まほう,
715,noun,どうぐ,
720,noun,ぞーく,
721,noun,からの,
728,adj,くろい,
730,adj,あおい,
732,adj,すんだ,
738,adj,くらい,
742,adj,しんだ,
743,adj,わるい,
750,adj,まえの,
756,adj,がいど,
759,adj,あつい,
761,adj,やけた,
761,adj,うえた,
762,adj,ながい,
769,adj,せまい,
774,adj,ふるい,
776,adj,あかい,
782,adj,さびた,
784,adj,くさい,
794,adj,つあー,
802,adj,かくし,
803,adj,にしの,
812,adj,しろい,
813,adj,ぜんぶ,
507,noun,ぼう,
509,noun,つか,
510,noun,かご,
511,noun,べる,
515,noun,とり,
516,noun,いた,
519,noun,ほね,
523,noun,ほん,
524,noun,はこ,
527,noun,えだ,
529,noun,いき,
530,noun,むし,
532,noun,ぶい,
533,noun,ふた,
549,noun,だむ,
553,noun,つち,
556,noun,どあ,
557,noun,ぞう,
568,noun,ゆか,
569,noun,もり,
573,noun,もん,
575,noun,きん,
577,noun,くず,
582,noun,みず,
583,noun,いえ,
587,noun,それ,
589,noun,かぎ,
592,noun,もれ,
598,noun,はい,
603,noun,かれ,
607,noun,ちず,
609,noun,やま,
615,noun,くち,
616,noun,かみ,
623,noun,みち,
626,noun,ひと,
629,noun,くい,
631,noun,つぼ,
636,noun,さく,
